# This file is called   output.dat
# Performance of RQL query on HTTP Headers
# StartTime    EndTime       Duration 
312936000	313021000	85000
313808000	313894000	86000
314006000	314091000	85000
314100000	314186000	86000
314609000	314695000	86000
315611000	315697000	86000
316529000	316614000	85000
316624000	316710000	86000
316818000	316904000	86000
317110000	317196000	86000
318079000	318158000	79000
319914000	319991000	77000
319823000	319904000	81000
320640000	320714000	74000
320001000	320076000	75000
320086000	320162000	76000
320467000	320543000	76000
320913000	320989000	76000
320553000	320630000	77000
320279000	320357000	78000
320822000	320903000	81000
321487000	321562000	75000
321920000	321995000	75000
321659000	321735000	76000
321834000	321910000	76000
321572000	321649000	77000
321873000	321950000	77000
321513000	321591000	78000
321694000	321772000	78000
321745000	321824000	79000
321397000	321477000	80000
321423000	321503000	80000
321960000	322040000	80000
321306000	321387000	81000
321782000	321863000	81000
321602000	321684000	82000
322091000	322166000	75000
322897000	322972000	75000
322947000	323022000	75000
322005000	322081000	76000
322050000	322126000	76000
322596000	322672000	76000
322684000	322760000	76000
322420000	322497000	77000
322720000	322797000	77000
322770000	322847000	77000
322982000	323059000	77000
322136000	322214000	78000
322366000	322444000	78000
322544000	322622000	78000
322632000	322710000	78000
322277000	322356000	79000
322507000	322586000	79000
322807000	322886000	79000
322454000	322534000	80000
322857000	322937000	80000
322328000	322410000	82000
323988000	324064000	76000
323069000	323147000	78000
323125000	323203000	78000
323157000	323235000	78000
323712000	323791000	79000
323925000	324005000	80000
323033000	323114000	81000
323456000	323537000	81000
323834000	323915000	81000
323895000	323977000	82000
323547000	323630000	83000
323645000	323729000	84000
323740000	323824000	84000
323801000	323885000	84000
323418000	323504000	86000
324170000	324247000	77000
324312000	324390000	78000
324401000	324479000	78000
324274000	324353000	79000
324467000	324546000	79000
324076000	324157000	81000
324557000	324638000	81000
324016000	324098000	82000
324489000	324571000	82000
324773000	324855000	82000
324852000	324934000	82000
324866000	324948000	82000
324108000	324191000	83000
324581000	324664000	83000
324944000	325027000	83000
324757000	324841000	84000
324958000	325043000	85000
325816000	325892000	76000
325728000	325805000	77000
325848000	325925000	77000
325902000	325980000	78000
325990000	326068000	78000
325935000	326015000	80000
325636000	325717000	81000
325053000	325135000	82000
325655000	325737000	82000
325037000	325121000	84000
325541000	325626000	85000
325131000	325217000	86000
326025000	326100000	75000
326110000	326186000	76000
326168000	326244000	76000
326502000	326578000	76000
326415000	326492000	77000
326448000	326526000	78000
326078000	326158000	80000
